rewards,exploration,run
-3.335180722891566,0.6,1
-5.563373493975903,0.6,2
-3.523995983935743,0.6,3
-3.900441767068273,0.6,4
-1.9332931726907632,0.6,5
-4.027510040160642,0.6,6
-3.851706827309237,0.6,7
-3.1842771084337347,0.6,8
-4.484176706827309,0.6,9
-2.594477911646586,0.6,10
-2.7355823293172694,0.594015,11
-4.115140562248996,0.588089700375,12
-3.7510843373493974,0.5822235056137594,13
-3.834939759036145,0.5764158261452621,14
-4.267088353413655,0.570666078279463,15
-4.6577108433734935,0.5649736841486254,16
-4.247048192771085,0.5593380716492428,17
-4.51871485943775,0.5537586743845415,18
-3.5515060240963856,0.5482349316075558,19
-1.8479518072289156,0.5427662881647703,20
-2.888192771084338,0.5373521944403268,21
-4.890200803212851,0.5319921063007845,22
-4.744939759036145,0.5266854850404341,23
-5.387650602409639,0.5214317973271557,24
-4.928333333333333,0.5162305151488173,25
-3.5945381526104416,0.5110811157602079,26
-3.4914457831325305,0.5059830816304998,27
-3.40359437751004,0.5009359003912355,28
-2.942269076305221,0.4959390647848329,29
-5.1570281124498,0.49099207261360417,30
-4.970401606425703,0.4860944266892835,31
-4.1199598393574295,0.4812456347830579,32
-2.8191767068273093,0.4764452095760969,33
-2.7075100401606425,0.47169266861057535,34
-5.012590361445782,0.46698753424118483,35
-2.805160642570281,0.462329333587129,36
-4.729076305220883,0.4577175984845974,37
-2.3208433734939757,0.4531518654397136,38
-4.795060240963855,0.44863167558195244,39
-2.282389558232932,0.44415657461802244,40
-3.0430923694779115,0.43972611278620766,41
-3.829156626506024,0.4353398448111652,42
-2.6989959839357427,0.43099732985917383,43
-3.0446787148594376,0.42669813149382857,44
-5.688694779116466,0.42244181763217764,45
-3.610441767068273,0.4182279605012967,46
-4.1599598393574295,0.4140561365952963,47
-2.8396586345381527,0.4099259266327582,48
-4.035060240963855,0.4058369155145964,49
-5.534357429718875,0.40178869228233827,50
-3.559558232931727,0.39778085007682196,51
-3.6208634538152613,0.39381298609730564,52
-2.4745983935742975,0.389884701560985,53
-5.711646586345382,0.3859956016629142,54
-4.842510040160643,0.38214529553632665,55
-3.2358433734939753,0.37833339621335177,56
-3.5640763052208833,0.3745595205861236,57
-4.957831325301205,0.37082328936827696,58
-4.296987951807229,0.36712432705682835,59
-4.501064257028113,0.3634622618944365,60
-5.1159236947791165,0.3598367258320395,61
-4.171666666666666,0.3562473544918649,62
-4.841405622489959,0.3526937871308085,63
-5.119678714859438,0.3491756666041787,64
-5.1286144578313255,0.345692639329802,65
-2.650582329317269,0.34224435525248725,66
-4.720321285140563,0.3388304678088437,67
-5.809116465863453,0.33545063389245044,68
-4.7810441767068275,0.3321045138193732,69
-7.12152610441767,0.328791771294025,70
-3.0692570281124496,0.3255120733753671,71
-4.832710843373493,0.3222650904434478,72
-3.5465060240963857,0.3190504961662744,73
-5.4637349397590365,0.31586796746701584,74
-3.5972891566265055,0.31271718449153235,75
-3.7255220883534137,0.30959783057622936,76
-3.518935742971887,0.3065095922162315,77
-4.663453815261043,0.30345215903387457,78
-6.231124497991969,0.3004252237475116,79
-3.4175301204819273,0.29742848214063017,80
-2.8230522088353416,0.29446163303127737,81
-2.967429718875502,0.2915243782417904,82
-5.5969277108433735,0.2886164225688285,83
-4.109196787148594,0.28573747375370445,84
-5.359819277108434,0.2828872424530113,85
-5.443393574297189,0.2800654422095425,86
-5.156064257028112,0.2772717894235023,87
-4.6518875502008035,0.2745060033240028,88
-5.509538152610442,0.2717678059408459,89
-7.1596184738955815,0.26905692207658594,90
-3.0432128514056225,0.266373079278872,91
-4.342771084337349,0.26371600781306526,92
-5.570522088353413,0.26108544063512995,93
-4.232791164658634,0.2584811133647945,94
-2.672469879518072,0.2559027642589807,95
-3.597168674698795,0.2533501341854973,96
-2.3179518072289156,0.250822966596997,97
-4.028333333333333,0.24832100750519193,98
-5.222690763052209,0.24584400545532764,99
-2.0447188755020083,0.24339171150091077,100
-3.1847590361445777,0.24096387917868917,101
-5.962449799196787,0.23856026448388173,102
-5.5420883534136545,0.236180625845655,103
-5.668253012048193,0.23382472410284458,104
-3.110100401606426,0.23149232247991872,105
-4.610923694779117,0.2291831865631815,106
-3.789036144578313,0.22689708427721378,107
-4.093092369477912,0.22463378586154856,108
-2.757510040160643,0.2223930638475796,109
-2.8910040160642576,0.22017469303569998,110
-4.248855421686748,0.21797845047266887,111
-5.191485943775101,0.215804115429204,112
-4.03574297188755,0.2136514693777977,113
-3.5721485943775098,0.21152029597075417,114
-5.607369477911647,0.20941038101844592,115
-3.344096385542169,0.20732151246778693,116
-2.503835341365462,0.20525348038092076,117
