rewards,exploration,run
-142861.48763770558,0.19603963663824134,1
-103959.40198059488,0.19119928126013797,2
-108175.29778949576,0.1864784376327608,3
-122633.89904809801,0.18187415492761771,4
-164535.98617287475,0.17738355517423013,5
-117360.73330004455,0.17300383146121878,6
-122674.78205850755,0.16873224618180424,7
-113456.16672503913,0.1645661293226273,8
-130049.34609781136,0.16050287679482209,9
-102312.02136502089,0.15653994880629288,10
-125095.32488166424,0.15267486827418236,11
-114349.84045771137,0.14890521927653713,12
-102872.7393753985,0.14522864554220183,13
-131010.07309527346,0.1416428489780002,14
-110356.42603978165,0.1381455882322784,15
-123384.64009225671,0.13473467729391952,16
-118140.89632290299,0.1314079841259451,17
-128062.8001720712,0.12816342933285793,18
-104405.11182123469,0.12499898486088518,19
-137957.53459995193,0.12191267273031699,20
-101401.072088229,0.11890256379914176,21
-118705.38753135642,0.1159667765572104,22
-114164.19577417755,0.11310347595017152,23
-160130.26756698312,0.11031087223244573,24
-99153.71174945729,0.10758721984852065,25
-139743.04187840177,0.10493081634186703,26
-87792.27040340519,0.102340001290795,27
-107939.47156764241,0.09981315527058397,28
-115405.96763336007,0.09734869884123988,29
-108281.3175156177,0.09494509156024372,30
-106732.21662416076,0.09260083101967674,31
-110690.682289307,0.09031445190711987,32
-129663.92915384285,0.0880845250897399,33
-183125.00720938155,0.0859096567209899,34
-127974.74168994371,0.08378848736936635,35
-123434.17293467373,0.08171969116867851,36
-116654.09135800786,0.07970197498929596,37
-154689.9780704528,0.07773407762986162,38
-121725.72870580759,0.07581476902895923,39
-114389.09646405,0.07394284949624685,40
-125955.19913661387,0.07211714896257439,41
-141950.62489011977,0.07033652624861474,42
-115344.6072889585,0.06859986835155474,43
-122565.22629035637,0.06690608974939709,44
-122607.21131822746,0.0652541317224397,45
-101887.36175507028,0.06364296169150864,46
-102936.0806842316,0.06207157257252972,47
-131082.74090768304,0.06053898214703742,48
-105378.71815668978,0.0590442324482251,49
-108437.7621084135,0.057586389162154715,50
-127956.21501197945,0.05616454104375141,51
-122807.2969054021,0.05477779934721652,52
-141406.7152328808,0.0534252972705052,53
-163916.30234226678,0.052106189413519945,54
-133645.68906902056,0.05081965124968123,55
-104069.39308220986,0.04956487861054592,56
-100251.62226109765,0.04834108718315053,57
-134775.16164131928,0.047147512019766045,58
-118324.65043520555,0.04598340705975651,59
-132968.6314031249,0.04484804466324315,60
-125417.86072309501,0.0437407151562837,61
-109326.87897177972,0.04266072638728033,62
-96777.22511913348,0.041607403294341275,63
-129727.45425420254,0.04058008748332338,64
-128526.19930563495,0.0395781368162944,65
-123504.95261265058,0.0386009250101556,66
-132250.57714011148,0.037647841245174736,67
-143675.81968948897,0.03671828978318476,68
-107528.99482802674,0.03581168959520971,69
-134224.58182788268,0.034927473998284254,70
-139681.09838925302,0.03406509030124073,71
-108722.40580790862,0.033223999459242,72
-98532.78975568712,0.03240367573684399,73
-105905.42071680352,0.031603606379377376,74
-136232.44277130254,0.030823291292443513,75
-114314.36991032027,0.030062242729322935,76
-140447.29948884435,0.029319984986103234,77
-111828.2472696472,0.028596054104333257,78
-125434.66923036799,0.027889997581019798,79
-96941.5550295338,0.027201374085784092,80
-118221.12059102021,0.026529753185002277,81
-113487.60884982534,0.025874715072756935,82
-131713.9237452913,0.02523585030843164,83
-138342.39520042948,0.024612759560784403,84
-133315.40595323034,0.024005053358340054,85
-113330.04432560503,0.023412351845945874,86
-114115.1398050841,0.022834284547337873,87
-116706.09922201559,0.0222704901335694,88
-113050.39326964319,0.021720616197157584,89
-113038.55284276791,0.021184319031806103,90
-174471.2707041949,0.020661263417566886,91
-124314.58398086578,0.020151122411306142,92
-131227.01376435533,0.019653577142344177,93
-143509.69820285775,0.019168316613140828,94
-138938.7530980315,0.018695037504902083,95
-97191.29767810926,0.01823344398798655,96
-163253.83081840724,0.017783247536992997,97
-104338.16794898175,0.0173441667504138,98
-123563.89501489885,0.016915927174740643,99
-152219.22083612718,0.016498261132913878,100
