rewards,exploration,run
-137803.95965313376,0.1596942577016785,1
-157022.46173197316,0.12436223747532126,2
-127385.30640060263,0.09684735276305202,3
-133361.5465733821,0.07542007869609381,4
-52493.03358082601,0.05873354416244883,5
-168335.67972847598,0.045738870464225485,6
-148218.91417857667,0.03561924111980877,7
-128463.61140328192,0.027738558584287917,8
-175488.91192025086,0.021601460563012247,9
-129292.75263717468,0.016822182632073943,10
-66737.12685844372,0.013100309938828875,11
-87003.64700215659,0.01020189378791811,12
-167456.68608703022,0.01,13
-107942.86477645021,0.01,14
-70418.27458085702,0.01,15
-76881.57437529508,0.01,16
-141444.89278461598,0.01,17
-61640.13569101249,0.01,18
-123428.25264634611,0.01,19
-180954.5154202925,0.01,20
-124046.43062896794,0.01,21
-84690.36477571167,0.01,22
-92940.61022100411,0.01,23
-102277.53760771593,0.01,24
-57905.120441449806,0.01,25
-66096.64291516365,0.01,26
-200109.67889329419,0.01,27
-107122.97313466808,0.01,28
-112879.7374708103,0.01,29
-240743.72244541952,0.01,30
-166424.3097348339,0.01,31
-110881.75938510103,0.01,32
-123580.67015207047,0.01,33
-193034.7330565285,0.01,34
-51295.70798157435,0.01,35
-216541.7970398292,0.01,36
-67344.89742281754,0.01,37
-128048.66761022527,0.01,38
-125984.10055053234,0.01,39
-186845.98214948736,0.01,40
-168886.72154466435,0.01,41
-180271.59963388462,0.01,42
-232664.38878003974,0.01,43
-150969.74917827174,0.01,44
-190977.7068747515,0.01,45
-99640.97527398635,0.01,46
-94466.92687819246,0.01,47
-129329.95822743885,0.01,48
-36977.489541958086,0.01,49
-38246.766074082814,0.01,50
-97983.97647527978,0.01,51
-159813.86387215275,0.01,52
-123883.64329146221,0.01,53
-193252.2535491297,0.01,54
-57494.569050292484,0.01,55
-107689.22734742984,0.01,56
-67223.30133843515,0.01,57
-131171.73065408785,0.01,58
-70775.04825527314,0.01,59
-60521.81129014958,0.01,60
-119539.21704667248,0.01,61
-91236.0749713676,0.01,62
-159983.8253438864,0.01,63
-112915.83784982096,0.01,64
-207414.06690918747,0.01,65
-108180.31267062202,0.01,66
-32295.06570057012,0.01,67
-74120.02817722317,0.01,68
-152398.97494824603,0.01,69
-263900.61768790707,0.01,70
-62976.47087851539,0.01,71
-181379.30374001153,0.01,72
-142045.70320566557,0.01,73
-90839.11426547728,0.01,74
-156601.4286332354,0.01,75
-227547.28788898326,0.01,76
-87333.28810191341,0.01,77
-194039.58342077956,0.01,78
-201037.6063877605,0.01,79
-189573.07200588658,0.01,80
-170536.2838827148,0.01,81
-161280.85121530667,0.01,82
-74423.20645053126,0.01,83
-87792.24788380787,0.01,84
-77395.8077726923,0.01,85
-74377.3547673095,0.01,86
-59033.93478352763,0.01,87
-177227.9210392814,0.01,88
-50112.45839123614,0.01,89
-157542.20437609404,0.01,90
-175525.00497665443,0.01,91
-169973.13373630494,0.01,92
-193073.10694475286,0.01,93
-186753.2422109656,0.01,94
-147171.5596620906,0.01,95
-98647.21144056879,0.01,96
-217068.73120089434,0.01,97
-124607.57266867533,0.01,98
-29573.48627526313,0.01,99
-211826.0804871805,0.01,100
